run,model,class_id,class_label,private_proportion,source_predicted_proportion,source_true_proportion,private_minus_source_predicted,private_minus_source_true,private_mean_confidence,private_mean_entropy,is_private_dominant,source_test_accuracy,source_test_macro_accuracy,source_test_f1_macro,source_test_mae,source_test_mse
lstm/ce,lstm,3,Highly Engage,0.23097826086956522,0.055692055692055695,0.09664209664209664,0.17528620517750954,0.13433616422746858,0.5842692010542926,0.6805388359462514,False,0.7051597051597052,0.4139256148546459,0.4428814844777025,0.32432432432432434,0.38493038493038495
lstm/ordinal,lstm,0,Highly Disengage,0.5027173913043478,0.07698607698607698,0.028665028665028666,0.4257313143182708,0.4740523626393191,0.7203616963850485,0.5240694137038411,True,0.48075348075348073,0.5119632701206163,0.3963855360846373,0.5872235872235873,0.7297297297297297
lstm/ordinal,lstm,1,Disengage,0.21739130434782608,0.26453726453726456,0.180999180999181,-0.04714596018943848,0.03639212334864508,0.41115557998418806,0.9053435556590557,False,0.48075348075348073,0.5119632701206163,0.3963855360846373,0.5872235872235873,0.7297297297297297
lstm/ordinal,lstm,2,Engage,0.10597826086956522,0.4283374283374283,0.6936936936936937,-0.3223591674678631,-0.5877154328241285,0.38303864307892627,0.9060432391288953,False,0.48075348075348073,0.5119632701206163,0.3963855360846373,0.5872235872235873,0.7297297297297297
lstm/ordinal,lstm,3,Highly Engage,0.17391304347826086,0.23013923013923013,0.09664209664209664,-0.05622618666096926,0.07727094683616423,0.5946643105708063,0.7005894435569644,False,0.48075348075348073,0.5119632701206163,0.3963855360846373,0.5872235872235873,0.7297297297297297
lstm/weighted_ce,lstm,0,Highly Disengage,0.22826086956521738,0.04504504504504504,0.028665028665028666,0.18321582452017232,0.19959584090018873,0.6220688855364209,0.6626489369109982,False,0.5700245700245701,0.5205989265877782,0.45018849258646826,0.4881244881244881,0.6142506142506142
lstm/weighted_ce,lstm,1,Disengage,0.21195652173913043,0.2571662571662572,0.180999180999181,-0.04520973542712675,0.030957340739949435,0.45973275410823333,0.7837087439420896,False,0.5700245700245701,0.5205989265877782,0.45018849258646826,0.4881244881244881,0.6142506142506142
lstm/weighted_ce,lstm,2,Engage,0.40217391304347827,0.502047502047502,0.6936936936936937,-0.09987358900402377,-0.29151978065021544,0.4758779126647356,0.7863208752226185,True,0.5700245700245701,0.5205989265877782,0.45018849258646826,0.4881244881244881,0.6142506142506142
lstm/weighted_ce,lstm,3,Highly Engage,0.15760869565217392,0.19574119574119575,0.09664209664209664,-0.03813250008902183,0.06096659901007728,0.6586769099893242,0.5808591267158245,False,0.5700245700245701,0.5205989265877782,0.45018849258646826,0.4881244881244881,0.6142506142506142
openface_mlp/ce,openface_mlp,0,Highly Disengage,0.0,0.005733005733005733,0.028665028665028666,-0.005733005733005733,-0.028665028665028666,0.0,0.0,False,0.7346437346437347,0.41631857220998886,0.46076095445845777,0.2858312858312858,0.3284193284193284
openface_mlp/ce,openface_mlp,1,Disengage,0.37228260869565216,0.10155610155610155,0.180999180999181,0.2707265071395506,0.19128342769647116,0.6971859794898625,0.4650908037476296,False,0.7346437346437347,0.41631857220998886,0.46076095445845777,0.2858312858312858,0.3284193284193284
openface_mlp/ce,openface_mlp,2,Engage,0.6168478260869565,0.8452088452088452,0.6936936936936937,-0.22836101912188866,-0.07684586760673717,0.7241946194928123,0.42149840703947955,True,0.7346437346437347,0.41631857220998886,0.46076095445845777,0.2858312858312858,0.3284193284193284
openface_mlp/ce,openface_mlp,3,Highly Engage,0.010869565217391304,0.0475020475020475,0.09664209664209664,-0.036632482284656195,-0.08577253142470534,0.74660325050354,0.3925294354557991,False,0.7346437346437347,0.41631857220998886,0.46076095445845777,0.2858312858312858,0.3284193284193284
openface_mlp/ordinal,openface_mlp,0,Highly Disengage,0.0,0.0,0.028665028665028666,0.0,-0.028665028665028666,0.0,0.0,False,0.5282555282555282,0.36964846763858816,0.33946520597073054,0.4987714987714988,0.5528255528255528
openface_mlp/ordinal,openface_mlp,1,Disengage,0.6603260869565217,0.3824733824733825,0.180999180999181,0.27785270448313926,0.47932690595734073,0.999963604618983,0.0001555371934127035,True,0.5282555282555282,0.36964846763858816,0.33946520597073054,0.4987714987714988,0.5528255528255528
openface_mlp/ordinal,openface_mlp,2,Engage,0.33967391304347827,0.5217035217035217,0.6936936936936937,-0.18202960866004347,-0.35401978065021544,0.9999969358444214,1.9652977178338918e-05,False,0.5282555282555282,0.36964846763858816,0.33946520597073054,0.4987714987714988,0.5528255528255528
openface_mlp/ordinal,openface_mlp,3,Highly Engage,0.0,0.09582309582309582,0.09664209664209664,-0.09582309582309582,-0.09664209664209664,0.0,0.0,False,0.5282555282555282,0.36964846763858816,0.33946520597073054,0.4987714987714988,0.5528255528255528
