run_a,run_b,cohens_kappa,raw_agreement
lstm/weighted_ce,transformer/ce,0.06634793198322142,0.38858695652173914
lstm/weighted_ce,transformer/weighted_ce,0.0626667744804722,0.31521739130434784
lstm/weighted_ce,transformer/ordinal,0.08840490675967583,0.32065217391304346
lstm/weighted_ce,i3d_mlp/ce,-0.01233010764379694,0.3125
lstm/weighted_ce,i3d_mlp/weighted_ce,-0.036798528058877844,0.20108695652173914
lstm/weighted_ce,i3d_mlp/ordinal,0.04191439861147017,0.23369565217391305
lstm/weighted_ce,openface_tcn_i3d_fusion/ce,0.06233124168092796,0.2717391304347826
lstm/weighted_ce,openface_tcn_i3d_fusion/weighted_ce,0.054395677064636105,0.2608695652173913
lstm/weighted_ce,openface_tcn_i3d_fusion/ordinal,0.030485509973654512,0.31521739130434784
lstm/ordinal,transformer/ce,0.022689768976897673,0.16032608695652173
lstm/ordinal,transformer/weighted_ce,0.040524433849821295,0.2391304347826087
lstm/ordinal,transformer/ordinal,0.02010928355476649,0.21739130434782608
lstm/ordinal,i3d_mlp/ce,-0.0406691860218249,0.09510869565217392
lstm/ordinal,i3d_mlp/weighted_ce,-0.022497976800647468,0.16032608695652173
lstm/ordinal,i3d_mlp/ordinal,0.01670882468203372,0.18478260869565216
lstm/ordinal,openface_tcn_i3d_fusion/ce,-0.035274664706963055,0.3342391304347826
lstm/ordinal,openface_tcn_i3d_fusion/weighted_ce,0.09310075110630145,0.375
lstm/ordinal,openface_tcn_i3d_fusion/ordinal,0.03913012375706426,0.20652173913043478
transformer/ce,transformer/weighted_ce,0.2646677611682364,0.49728260869565216
transformer/ce,transformer/ordinal,0.19479799069308756,0.421195652173913
transformer/ce,i3d_mlp/ce,-0.039816488674859984,0.4945652173913043
transformer/ce,i3d_mlp/weighted_ce,0.022250527405166642,0.27445652173913043
transformer/ce,i3d_mlp/ordinal,0.024548829820640217,0.22010869565217392
transformer/ce,openface_tcn_i3d_fusion/ce,0.026886753716021894,0.125
transformer/ce,openface_tcn_i3d_fusion/weighted_ce,0.009931859897915452,0.12771739130434784
transformer/ce,openface_tcn_i3d_fusion/ordinal,0.024327973487173304,0.41304347826086957
transformer/weighted_ce,transformer/ordinal,0.48943254867502195,0.6739130434782609
transformer/weighted_ce,i3d_mlp/ce,-0.0777226931073085,0.20380434782608695
transformer/weighted_ce,i3d_mlp/weighted_ce,-0.050016784155757055,0.16847826086956522
transformer/weighted_ce,i3d_mlp/ordinal,0.0032433924504865486,0.14673913043478262
transformer/weighted_ce,openface_tcn_i3d_fusion/ce,0.08656184146539159,0.3342391304347826
transformer/weighted_ce,openface_tcn_i3d_fusion/weighted_ce,0.039778681309469044,0.3233695652173913
transformer/weighted_ce,openface_tcn_i3d_fusion/ordinal,0.046896679308112144,0.391304347826087
transformer/ordinal,i3d_mlp/ce,-0.059204757729404145,0.1793478260869565
transformer/ordinal,i3d_mlp/weighted_ce,-0.00015932073137570057,0.21195652173913043
transformer/ordinal,i3d_mlp/ordinal,-0.0008228171527062678,0.14673913043478262
transformer/ordinal,openface_tcn_i3d_fusion/ce,0.0976174890641397,0.358695652173913
transformer/ordinal,openface_tcn_i3d_fusion/weighted_ce,0.07596491228070179,0.37771739130434784
transformer/ordinal,openface_tcn_i3d_fusion/ordinal,0.048838657377492156,0.40217391304347827
i3d_mlp/ce,i3d_mlp/weighted_ce,0.29599495853167224,0.5380434782608695
i3d_mlp/ce,i3d_mlp/ordinal,0.1763936232482869,0.4701086956521739
i3d_mlp/ce,openface_tcn_i3d_fusion/ce,-0.001021984186139413,0.03804347826086957
i3d_mlp/ce,openface_tcn_i3d_fusion/weighted_ce,0.02135429070413586,0.08967391304347826
i3d_mlp/ce,openface_tcn_i3d_fusion/ordinal,0.02922822846122297,0.3532608695652174
i3d_mlp/weighted_ce,i3d_mlp/ordinal,0.3965252334239452,0.6983695652173914
i3d_mlp/weighted_ce,openface_tcn_i3d_fusion/ce,0.015750371471025315,0.11956521739130435
i3d_mlp/weighted_ce,openface_tcn_i3d_fusion/weighted_ce,0.0772525836474921,0.21739130434782608
i3d_mlp/weighted_ce,openface_tcn_i3d_fusion/ordinal,0.11308604782526843,0.30434782608695654
i3d_mlp/ordinal,openface_tcn_i3d_fusion/ce,0.019965825649235658,0.059782608695652176
i3d_mlp/ordinal,openface_tcn_i3d_fusion/weighted_ce,0.027852753689772025,0.125
i3d_mlp/ordinal,openface_tcn_i3d_fusion/ordinal,0.028174569150304363,0.16304347826086957
openface_tcn_i3d_fusion/ce,openface_tcn_i3d_fusion/weighted_ce,0.33327502405257825,0.6059782608695652
openface_tcn_i3d_fusion/ce,openface_tcn_i3d_fusion/ordinal,0.0016621133675944755,0.22826086956521738
openface_tcn_i3d_fusion/weighted_ce,openface_tcn_i3d_fusion/ordinal,0.043184602970622654,0.2907608695652174
