train_group,test_set,model,loss,target_frames,n_labeled,accuracy,macro_accuracy,mae,macro_mae,cohen_kappa,quadratic_weighted_kappa
daisee,daisee_test,transformer,weighted_ce,300,1784,0.34641255605381166,0.3126211786926073,0.8144618834080718,0.9772177093605665,0.017610010616633587,0.04427865578243362
daisee,daisee_test,transformer,ordinal,300,1784,0.3721973094170404,0.4553829107400536,0.8133408071748879,0.8553373642659358,0.04035441107111937,0.06971585094501764
daisee,daisee_test,i3d_mlp,ce,300,1784,0.5341928251121076,0.2806616913759771,0.48654708520179374,1.2461240229097374,0.11073094420024188,0.11926743100919879
daisee,daisee_test,i3d_mlp,weighted_ce,300,1784,0.3850896860986547,0.2863957417528846,0.8374439461883408,1.214282928568643,0.07702697731626584,0.07991647333345642
daisee,daisee_test,i3d_mlp,ordinal,300,1784,0.30493273542600896,0.28083823619537907,0.9899103139013453,1.1403402474831048,0.042983874665912136,0.07176285969189178
daisee,private,openface_mlp,ce,300,366,0.587431693989071,0.2544642857142857,0.43989071038251365,0.9955357142857143,0.016619217081850435,0.018083182640144746
daisee,private,openface_mlp,weighted_ce,300,366,0.26229508196721313,0.23025011628913264,0.9644808743169399,1.230500543584085,-0.012365156280413458,-0.0012113870381587066
daisee,private,openface_mlp,ordinal,300,366,0.5710382513661202,0.25908677873693775,0.5081967213114754,1.0333239355487764,0.05663908589440525,-0.11415525114155223
daisee,private,tcn,ce,300,366,0.5819672131147541,0.26799337692823605,0.453551912568306,1.0231356553298285,0.06255963840294643,0.0658105939004815
daisee,private,tcn,weighted_ce,300,366,0.4371584699453552,0.27949078881893513,0.6885245901639344,1.011163013024383,0.0351411532850453,0.019943019943020057
daisee,private,tcn,ordinal,300,366,0.30327868852459017,0.24519921951061208,0.9398907103825137,1.2871603275567385,-0.032834235251153476,-0.026757934038581288
daisee,private,lstm,ce,300,366,0.5901639344262295,0.2725729376257545,0.43989071038251365,0.9854915785032777,0.07625521604522834,0.11021069692058338
daisee,private,lstm,weighted_ce,300,366,0.3879781420765027,0.23818786374158932,0.8060109289617486,1.1469578222020294,0.03500553214529534,-0.023201856148492128
daisee,private,lstm,ordinal,300,366,0.25136612021857924,0.21702297116029512,1.1775956284153006,1.4147402560524438,-0.00749462516827748,0.019253910950661868
daisee,private,transformer,ce,300,366,0.5792349726775956,0.24882629107981222,0.44808743169398907,1.0011737089201878,-0.003275186899252658,0.001808318264014619
daisee,private,transformer,weighted_ce,300,366,0.3114754098360656,0.26630481815624935,0.8989071038251366,0.9945247425412691,0.043673012318029,0.022834116856950915
daisee,private,transformer,ordinal,300,366,0.24043715846994534,0.23725572521148397,0.9918032786885246,1.4455931151424677,-0.04770632754981197,-0.06414368184733799
daisee,private,i3d_mlp,ce,300,366,0.546448087431694,0.2643779342723005,0.5300546448087432,1.0904321087817226,0.07102337884741838,0.049576783555018156
daisee,private,i3d_mlp,weighted_ce,300,366,0.1885245901639344,0.3564451223469851,1.2349726775956285,1.001765025637697,0.053110218730128333,0.06852497096399524
daisee,private,i3d_mlp,ordinal,300,366,0.20491803278688525,0.3116005170809805,1.2677595628415301,1.0830732378139807,0.0661791782839708,0.0672708260718019
combined,cmose_test,openface_mlp,ce,150,1221,0.7362817362817363,0.4418785963424774,0.28173628173628174,0.7102400477253192,0.3156044047863581,0.4133180764429649
combined,cmose_test,openface_mlp,weighted_ce,150,1221,0.5634725634725635,0.5062985867572108,0.48894348894348894,0.6147837977304125,0.232070034833338,0.34892721096556434
combined,cmose_test,openface_mlp,ordinal,150,1221,0.2710892710892711,0.2675697704814899,0.7993447993447993,0.9236946231508001,0.018666902663178386,0.06715364025624682
combined,cmose_test,tcn,ce,150,1221,0.7313677313677314,0.4702065586004678,0.29565929565929566,0.6983130528494437,0.34088417975886,0.41512998562972936
combined,cmose_test,tcn,weighted_ce,150,1221,0.6494676494676495,0.5793104068051952,0.41932841932841936,0.5242262246952721,0.36130411348661884,0.426710862417383
combined,cmose_test,tcn,ordinal,150,1221,0.601965601965602,0.5741980805381512,0.4398034398034398,0.49860895698156643,0.3266215558357173,0.45016345726203344
combined,cmose_test,lstm,ce,150,1221,0.7264537264537264,0.42647977645485124,0.29565929565929566,0.7008548168046945,0.31682810055248256,0.4001974424806729
combined,cmose_test,lstm,weighted_ce,150,1221,0.5667485667485668,0.5283664536315673,0.5028665028665029,0.5960084305253344,0.259687878947646,0.37942606783064037
combined,cmose_test,lstm,ordinal,150,1221,0.5266175266175266,0.5496557326476659,0.5462735462735463,0.5853991947506858,0.2239520563008578,0.3715948423323703
combined,cmose_test,transformer,ce,150,1221,0.7305487305487306,0.48960275200191816,0.294021294021294,0.6559596842928666,0.3612138096850984,0.438563054497636
combined,cmose_test,transformer,weighted_ce,150,1221,0.6265356265356266,0.507026934816294,0.4176904176904177,0.6420851965943963,0.272505860186533,0.3870186986940747
