run_a,run_b,cohens_kappa,raw_agreement
transformer/weighted_ce,i3d_mlp/weighted_ce,0.3917534512368567,0.6101556101556102
transformer/weighted_ce,i3d_mlp/ordinal,0.3813925122604783,0.6060606060606061
transformer/weighted_ce,openface_tcn_i3d_fusion/ce,0.3123430719979079,0.5978705978705978
transformer/weighted_ce,openface_tcn_i3d_fusion/weighted_ce,0.4198487647806798,0.6257166257166257
transformer/weighted_ce,openface_tcn_i3d_fusion/ordinal,0.34451982081245625,0.5626535626535627
transformer/ordinal,i3d_mlp/ce,0.23509790416215692,0.5307125307125307
transformer/ordinal,i3d_mlp/weighted_ce,0.3544046138188398,0.5749385749385749
transformer/ordinal,i3d_mlp/ordinal,0.3340949508137676,0.5634725634725635
transformer/ordinal,openface_tcn_i3d_fusion/ce,0.26083884998581663,0.5438165438165438
transformer/ordinal,openface_tcn_i3d_fusion/weighted_ce,0.37895019479302294,0.5888615888615889
transformer/ordinal,openface_tcn_i3d_fusion/ordinal,0.3081799116259487,0.5282555282555282
i3d_mlp/ce,i3d_mlp/weighted_ce,0.46779009939856153,0.7199017199017199
i3d_mlp/ce,i3d_mlp/ordinal,0.4922173950571108,0.7395577395577395
i3d_mlp/ce,openface_tcn_i3d_fusion/ce,0.5865888104291146,0.8468468468468469
i3d_mlp/ce,openface_tcn_i3d_fusion/weighted_ce,0.40881017460530833,0.6814086814086814
i3d_mlp/ce,openface_tcn_i3d_fusion/ordinal,0.29943118777716193,0.5921375921375921
i3d_mlp/weighted_ce,i3d_mlp/ordinal,0.6966297392724676,0.8173628173628174
i3d_mlp/weighted_ce,openface_tcn_i3d_fusion/ce,0.4430572741179051,0.7035217035217035
i3d_mlp/weighted_ce,openface_tcn_i3d_fusion/weighted_ce,0.572822867008024,0.7371007371007371
i3d_mlp/weighted_ce,openface_tcn_i3d_fusion/ordinal,0.4745108491060105,0.6601146601146601
i3d_mlp/ordinal,openface_tcn_i3d_fusion/ce,0.4617313860422303,0.7207207207207207
i3d_mlp/ordinal,openface_tcn_i3d_fusion/weighted_ce,0.5743122636103781,0.7403767403767404
i3d_mlp/ordinal,openface_tcn_i3d_fusion/ordinal,0.49986834020890014,0.678951678951679
openface_tcn_i3d_fusion/ce,openface_tcn_i3d_fusion/weighted_ce,0.4522423304263805,0.7018837018837019
openface_tcn_i3d_fusion/ce,openface_tcn_i3d_fusion/ordinal,0.30805816599977975,0.5954135954135954
openface_tcn_i3d_fusion/weighted_ce,openface_tcn_i3d_fusion/ordinal,0.5697975818614887,0.7199017199017199
